INFO  20150820 09:35:13,789 [12]  7346ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150820 09:35:14,105 [12]  7662ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150820 09:35:15,265 [12]  8822ms T_VideoServices heckAliveVideoTask - 3. Check video hiDAdI0ppIg [385] 
INFO  20150820 09:35:17,676 [12] 11233ms T_VideoServices heckAliveVideoTask - 3. Check video QwF4P6V3dK4 [385] 
INFO  20150820 09:35:18,053 [12] 11610ms T_VideoServices heckAliveVideoTask - 3. Check video QWBBCO5cFVM [385] 
INFO  20150820 09:35:18,254 [12] 11811ms T_VideoServices heckAliveVideoTask - 3. Check video Vmr_IFA3WE8 [385] 
INFO  20150820 09:35:18,478 [12] 12035ms T_VideoServices heckAliveVideoTask - 3. Check video i_0jx-WkKcg [385] 
INFO  20150820 09:45:18,675 [12] 612233ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150820 09:45:18,676 [12] 612234ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150820 09:45:18,742 [12] 612300ms T_VideoServices heckAliveVideoTask - 3. Check video i_0jx-WkKcg [385] 
INFO  20150820 09:45:19,033 [12] 612591ms T_VideoServices heckAliveVideoTask - 3. Check video Vmr_IFA3WE8 [385] 
INFO  20150820 09:45:19,239 [12] 612797ms T_VideoServices heckAliveVideoTask - 3. Check video QWBBCO5cFVM [385] 
INFO  20150820 09:45:19,439 [12] 612997ms T_VideoServices heckAliveVideoTask - 3. Check video QwF4P6V3dK4 [385] 
INFO  20150820 09:45:19,643 [12] 613201ms T_VideoServices heckAliveVideoTask - 3. Check video hiDAdI0ppIg [385] 
INFO  20150820 09:55:19,841 [12] 1213398ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150820 09:55:19,841 [12] 1213398ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150820 09:55:19,883 [12] 1213440ms T_VideoServices heckAliveVideoTask - 3. Check video hiDAdI0ppIg [385] 
INFO  20150820 09:55:20,194 [12] 1213751ms T_VideoServices heckAliveVideoTask - 3. Check video QwF4P6V3dK4 [385] 
INFO  20150820 09:55:20,398 [12] 1213955ms T_VideoServices heckAliveVideoTask - 3. Check video QWBBCO5cFVM [385] 
INFO  20150820 09:55:20,617 [12] 1214174ms T_VideoServices heckAliveVideoTask - 3. Check video Vmr_IFA3WE8 [385] 
INFO  20150820 09:55:20,819 [12] 1214376ms T_VideoServices heckAliveVideoTask - 3. Check video i_0jx-WkKcg [385] 
INFO  20150820 16:53:13,670 [5] 10623ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150820 16:53:14,093 [5] 11046ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150820 16:53:17,696 [5] 14650ms T_VideoServices heckAliveVideoTask - 3. Check video i_0jx-WkKcg [385] 
INFO  20150820 16:53:21,165 [5] 18118ms T_VideoServices heckAliveVideoTask - 3. Check video Vmr_IFA3WE8 [385] 
INFO  20150820 16:53:21,573 [5] 18526ms T_VideoServices heckAliveVideoTask - 3. Check video QWBBCO5cFVM [385] 
INFO  20150820 16:53:21,771 [5] 18724ms T_VideoServices heckAliveVideoTask - 3. Check video QwF4P6V3dK4 [385] 
INFO  20150820 16:53:21,969 [5] 18922ms T_VideoServices heckAliveVideoTask - 3. Check video hiDAdI0ppIg [385] 
INFO  20150820 17:03:22,166 [5] 619119ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150820 17:03:22,167 [5] 619120ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150820 17:03:22,225 [5] 619178ms T_VideoServices heckAliveVideoTask - 3. Check video hiDAdI0ppIg [385] 
INFO  20150820 17:03:22,529 [5] 619482ms T_VideoServices heckAliveVideoTask - 3. Check video QwF4P6V3dK4 [385] 
INFO  20150820 17:03:22,739 [5] 619692ms T_VideoServices heckAliveVideoTask - 3. Check video QWBBCO5cFVM [385] 
INFO  20150820 17:03:22,952 [5] 619905ms T_VideoServices heckAliveVideoTask - 3. Check video Vmr_IFA3WE8 [385] 
INFO  20150820 17:03:23,202 [5] 620155ms T_VideoServices heckAliveVideoTask - 3. Check video i_0jx-WkKcg [385] 
