INFO  20150903 15:26:59,843 [14] 27946ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 15:27:00,820 [14] 28923ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 15:27:05,835 [14] 33937ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 15:27:08,870 [14] 36973ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 15:27:09,354 [14] 37457ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 15:27:09,606 [14] 37709ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 15:27:09,806 [14] 37909ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 15:27:22,803 [17]  3598ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 15:27:22,854 [17]  3649ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 15:27:23,331 [17]  4126ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 15:27:23,968 [17]  4763ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 15:27:24,178 [17]  4973ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 15:27:24,387 [17]  5182ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 15:27:24,598 [17]  5393ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 15:37:24,818 [17] 605613ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 15:37:24,819 [17] 605614ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 15:37:25,763 [17] 606558ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 15:37:26,162 [17] 606957ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 15:37:26,364 [17] 607159ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 15:37:26,565 [17] 607360ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 15:37:26,765 [17] 607560ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 15:47:26,969 [17] 1207764ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 15:47:26,970 [17] 1207765ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 15:47:27,025 [17] 1207820ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 15:47:27,313 [17] 1208108ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 15:47:27,521 [17] 1208316ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 15:47:27,735 [17] 1208530ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 15:47:27,947 [17] 1208742ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 16:00:09,222 [10]  7030ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 16:00:10,150 [10]  7958ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 16:00:10,384 [10]  8192ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 16:00:11,557 [10]  9365ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 16:00:11,780 [10]  9588ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 16:00:12,088 [10]  9896ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 16:00:12,361 [10] 10169ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 16:12:41,088 [40]  8929ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 16:12:41,376 [40]  9217ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 16:12:41,597 [40]  9438ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 16:12:42,432 [40] 10273ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 16:12:42,649 [40] 10490ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 16:12:42,857 [40] 10698ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 16:12:43,063 [40] 10904ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 16:23:08,465 [26] 16631ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 16:23:08,480 [26] 16646ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 16:23:08,735 [26] 16901ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 16:23:09,470 [26] 17637ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 16:23:09,684 [26] 17851ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 16:23:09,908 [26] 18075ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 16:23:10,111 [26] 18278ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 16:33:10,303 [26] 618470ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 16:33:10,304 [26] 618471ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 16:33:10,352 [26] 618519ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 16:33:10,638 [26] 618805ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 16:33:10,838 [26] 619005ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 16:33:11,045 [26] 619212ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 16:33:11,247 [26] 619414ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 16:43:11,482 [26] 1219648ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 16:43:11,511 [26] 1219677ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 16:43:11,563 [26] 1219729ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 16:43:11,815 [26] 1219981ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 16:43:12,029 [26] 1220195ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 16:43:12,367 [26] 1220533ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 16:43:12,576 [26] 1220742ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 16:47:08,495 [15] 10842ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 16:47:08,775 [15] 11122ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 16:47:08,981 [15] 11328ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 16:47:10,222 [15] 12569ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 16:47:10,476 [15] 12823ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 16:47:10,677 [15] 13024ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 16:47:10,884 [15] 13230ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 16:49:08,661 [6] 10042ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 16:49:08,991 [6] 10372ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 16:49:09,136 [6] 10517ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 16:49:09,767 [6] 11148ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 16:49:09,971 [6] 11352ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 16:49:10,203 [6] 11584ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 16:49:10,503 [6] 11884ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
INFO  20150903 16:49:51,041 [11] 15323ms Global          BackgroundRunning  - 1 Loop to do task [78] 
INFO  20150903 16:49:51,093 [11] 15375ms Global          CheckAliveVideo    - 2 CheckVideo [116] 
INFO  20150903 16:49:51,499 [11] 15781ms T_VideoServices heckAliveVideoTask - 3. Check video rfdGuLwDhvM [396] 
INFO  20150903 16:49:52,318 [11] 16600ms T_VideoServices heckAliveVideoTask - 3. Check video 20k1NXzf4SQ [396] 
INFO  20150903 16:49:52,570 [11] 16852ms T_VideoServices heckAliveVideoTask - 3. Check video 3eIuAsdlJIo [396] 
INFO  20150903 16:49:52,831 [11] 17113ms T_VideoServices heckAliveVideoTask - 3. Check video xE_cqbciq1g [396] 
INFO  20150903 16:49:53,045 [11] 17327ms T_VideoServices heckAliveVideoTask - 3. Check video r3D1grpaBRM [396] 
